Service,Category,Provider,Provider_Type,Region,Price_From_GBP_inc_VAT,Price_To_GBP_inc_VAT,Original_Price_Basis,VAT_Treatment_Applied,Service_Level,Delivery_Channel,Regulated,Includes_Disbursements,Notes,Source_URL
Couple both LPAs each (four docs),LPA,Devonalds Solicitors,Regional law firm,Wales,540.00,540.00,£450 + VAT (published),+20% VAT applied,Fixed fee,In-person,Yes (SRA),No,Four LPAs across a couple,https://www.devonalds.co.uk/site/blog/devonalds-blog/solicitor-charges-power-of-attorney
Single LPA (one document),LPA,Ann McCabe Solicitors,Regional law firm,Regional,360.00,360.00,£360 inc VAT (published),None (already inc VAT),Fixed fee,In-person,Yes (SRA),No,One of Property/Financial or Health/Welfare,https://annmccabe.co.uk/fixed-fees-lasting-powers-of-attorney/
Single person both LPAs,LPA,Ann McCabe Solicitors,Regional law firm,Regional,420.00,420.00,£420 inc VAT (published),None (already inc VAT),Fixed fee,In-person,Yes (SRA),No,Both types for one person,https://annmccabe.co.uk/fixed-fees-lasting-powers-of-attorney/
Couple both LPAs each (four docs),LPA,Ann McCabe Solicitors,Regional law firm,Regional,720.00,720.00,£720 inc VAT (published),None (already inc VAT),Fixed fee,In-person,Yes (SRA),No,Four LPAs total,https://annmccabe.co.uk/fixed-fees-lasting-powers-of-attorney/
Property & Financial LPA,LPA,Kew Law,Regional law firm,East Anglia,420.00,420.00,£350 + VAT (published),+20% VAT applied,Fixed fee,In-person,Yes (SRA),No,,https://www.kewlaw.co.uk/our-services/lasting-power-of-attorney/pricing/
Health & Care LPA (add-on),LPA,Kew Law,Regional law firm,East Anglia,300.00,300.00,£250 + VAT (published),+20% VAT applied,Fixed fee,In-person,Yes (SRA),No,Add-on price when bought with Property LPA,https://www.kewlaw.co.uk/our-services/lasting-power-of-attorney/pricing/
LPA both types single person (combined),LPA,QualitySolicitors,Network/brand,National,480.00,720.00,£400-£600 + VAT (published range),+20% VAT applied,Typical range,Mixed,Yes (SRA),No,Indicative network guide,https://www.qualitysolicitors.com/wills-and-probate/making-a-will/faq/how-much-will-it-cost-to-make-a-will-or-a-lasting-power-of-attorney
OPG LPA registration fee,LPA disbursement,Office of the Public Guardian,Government,England & Wales,92.00,92.00,£92 (statutory),No VAT on statutory fees,Statutory fee,N/A,N/A,N/A,Per LPA document; paid to OPG,https://www.gov.uk/power-of-attorney/register
OPG LPA registration fee (couple both types),LPA disbursement,Office of the Public Guardian,Government,England & Wales,368.00,368.00,£92 x 4 (statutory),No VAT on statutory fees,Statutory fee,N/A,N/A,N/A,4 x £92 for couple with both LPAs each,https://www.gov.uk/power-of-attorney/register
Initial consultation,Consultations,Typical solicitor (national average),Market average,National,0.00,100.00,Range from free to £100 (varies; some exc VAT),+20% VAT applied to paid upper bound,Initial meeting,Mixed,Yes (SRA),No,Many firms offer free 20-30 min consultation; some charge £50-£100,https://www.qualitysolicitors.com/media-centre/about-us/free-initial-assessment
Initial consultation (fixed fee with specialist),Consultations,Typical specialist solicitor,Market average,National,234.00,360.00,£195-£300 + VAT (range),+20% VAT applied,1-hour fixed-fee meeting,In-person,Yes (SRA),No,For estate planning / IHT / complex advice,https://burnettbarker.co.uk/fixed-fee-consultations/
Lifetime estate planning / IHT consultation (1 hour),Consultations,Typical solicitor,Market average,National,240.00,240.00,£200 + VAT (published indicative),+20% VAT applied,Fixed fee,In-person,Yes (SRA),No,Indicative for lifetime planning meeting,https://www.solicitorconnect.co.uk/legal-guides-insights/how-much-does-a-solicitor-cost-in-2025-complete-fee-guide/
Inheritance Tax advice (full tax report),IHT Planning,Typical specialist solicitor,Market average,National,1620.00,1620.00,£1620 inc VAT (example),None (already inc VAT),Written advice,In-person,Yes (SRA),No,Example: 0.5hr fact-find + 3hr report drafting + 1hr discussion,https://inheritance-tax.co.uk/the-costs/
IHT return (IHT400/IHT205) preparation,IHT Planning,Typical specialist solicitor,Market average,National,1800.00,2400.00,£1500-£2000 + VAT (range),+20% VAT applied,Tax return,In-person,Yes (SRA),No,Plus disbursements (not included),https://inheritance-tax.co.uk/the-costs/
Single Will (simple),Wills,Typical UK solicitor,Market average,National,150.00,480.00,£150-£400 (varies; assumed exc VAT on upper),+20% VAT applied to upper; lower assumed inc,Fixed fee,In-person,Yes (SRA),No,Simple wills range across market,https://www.agespace.org/legal/will-making-cost
Single Will (complex with IHT/tax planning),Wills,Typical UK solicitor,Market average,National,600.00,1800.00,£500-£1500 + VAT (range),+20% VAT applied,Complex bespoke,In-person,Yes (SRA),No,Complex wills with trust / tax elements,https://www.agespace.org/legal/will-making-cost
Mirror Wills (pair),Wills,Typical UK solicitor,Market average,National,288.00,648.00,£240-£540 + VAT (range),+20% VAT applied,Fixed fee,In-person,Yes (SRA),No,Standard mirror wills range,https://www.agespace.org/legal/will-making-cost
Mirror Wills (pair - established firm),Wills,Typical UK solicitor,Market average,National,780.00,1260.00,£650-£1050 + VAT (range),+20% VAT applied,Fixed fee,In-person,Yes (SRA),No,Mid-market established high-street solicitor,https://www.agespace.org/legal/will-making-cost
Single Trust Will,Trust Wills,Typical UK solicitor,Market average,National,600.00,1200.00,£500-£1000 + VAT (range),+20% VAT applied,Fixed fee,In-person,Yes (SRA),No,Property protection or life interest trust drafted within will,https://www.thenorwichwillwritingco.co.uk/life-interest-trust-costs-what-you-need-to-know
Pair of Trust Wills (couple),Trust Wills,Typical UK solicitor,Market average,National,828.00,1800.00,£690-£1500 + VAT (range),+20% VAT applied,Fixed fee,In-person,Yes (SRA),No,Life interest trust wills £800+VAT couple entry,https://www.thenorwichwillwritingco.co.uk/life-interest-trust-costs-what-you-need-to-know
Pair of Discretionary Trust Wills (couple),Trust Wills,Typical UK solicitor,Market average,National,1440.00,3600.00,£1200-£3000 + VAT (range),+20% VAT applied,Fixed fee,In-person,Yes (SRA),No,Higher-complexity discretionary trust wills,https://mpestateplanning.uk/the-average-cost-of-a-will-and-trust-in-the-uk/
Property Protection Trust (set up),Trusts,Typical UK solicitor,Market average,National,600.00,4800.00,£500-£4000 + VAT (range),+20% VAT applied,Fixed fee,In-person,Yes (SRA),No,"Lower end = will-based trust; upper end = lifetime deed",https://www.goodwills.net/how-much-does-a-property-protection-trust-cost/
Lifetime Trust (deed separate from will),Trusts,Typical UK solicitor,Market average,National,360.00,1200.00,£300-£1000 + VAT (range),+20% VAT applied,Fixed fee,In-person,Yes (SRA),No,Life interest lifetime trust deeds,https://www.thenorwichwillwritingco.co.uk/life-interest-trust-costs-what-you-need-to-know
Hourly rate - Paralegal/Trainee,Hourly rates,Typical UK solicitor firm,Market average,National,108.00,240.00,£90-£200 + VAT (range),+20% VAT applied,Hourly,N/A,Yes (SRA),No,Junior fee earner hourly rate,https://mpestateplanning.uk/the-average-cost-of-a-will-and-trust-in-the-uk/
Hourly rate - Qualified solicitor (5+ PQE),Hourly rates,Typical UK solicitor firm,Market average,National,240.00,384.00,£200-£320 + VAT (range),+20% VAT applied,Hourly,N/A,Yes (SRA),No,Mid-level solicitor hourly rate,https://mpestateplanning.uk/the-average-cost-of-a-will-and-trust-in-the-uk/
Hourly rate - Partner/Trust specialist,Hourly rates,Typical UK solicitor firm,Market average,National,360.00,468.00,£300-£390 + VAT (range),+20% VAT applied,Hourly,N/A,Yes (SRA),No,Senior partner / STEP specialist hourly rate,https://mpestateplanning.uk/the-average-cost-of-a-will-and-trust-in-the-uk/
Hourly rate - London private client (top-tier),Hourly rates,Withers / Farrer / Mishcon / CRS tier,City/elite law firm,London,600.00,1440.00,£500-£1200 + VAT (indicative),+20% VAT applied,Hourly,In-person,Yes (SRA),No,"Not publicly published; partner rates at top London PC firms typically £600-£1200/hr + VAT",https://www.charlesrussellspeechlys.com/en/pricing-information/
Grant of Probate only (DIY drafting),Probate,Typical UK solicitor,Market average,National,1440.00,1800.00,£1200-£1500 + VAT (range),+20% VAT applied,Fixed fee,In-person,Yes (SRA),No,Grant only; client administers estate themselves,https://www.riaabarkergillette.com/uk/sra-transparency-rules-probate/
Full estate administration (simple estate),Probate,Typical UK solicitor,Market average,National,2100.00,3000.00,£1750-£2500 + VAT (range),+20% VAT applied,Fixed fee,In-person,Yes (SRA),No,Law Society guidance for straightforward estate,https://www.lawsociety.org.uk/topics/price-and-service-transparency/price-and-service-transparency-how-you-can-comply
Full estate administration (standard estate),Probate,Typical UK solicitor,Market average,National,6000.00,18000.00,£5000-£15000 + VAT (range),+20% VAT applied,Fixed fee,In-person,Yes (SRA),No,Mid-range estate with multiple assets,https://www.riaabarkergillette.com/uk/sra-transparency-rules-probate/
Full estate administration (percentage basis),Probate,Typical UK solicitor,Market average,National,,,2%-4% of gross estate value (+VAT),+20% VAT applied conceptually,Percentage of estate,In-person,Yes (SRA),No,Typically 2%-4% of gross estate; actual £ depends on estate value,https://www.riaabarkergillette.com/uk/sra-transparency-rules-probate/
Fixed-fee estate administration,Probate,Kings Court Trust,Specialist probate provider,National,1995.00,,£1995 inc VAT (published from),None (already inc VAT),Fixed fee,Online/phone,Yes (CLC-regulated parent group),Yes (includes Probate Registry fee),Including Probate Registry fee; bespoke quote for complex estates,https://www.kctrust.co.uk/pricing
Estate admin - Farewill Trustees,Probate,Farewill,Online/specialist,National,595.00,2750.00,£595-£2750 inc VAT (published),None (already inc VAT),Fixed fee,Online/phone,Yes (probate specialist arm),No,Farewill's own trustee/executor service,https://farewill.com/
Deed of Variation (simple),Post-death,Typical UK solicitor,Market average,National,420.00,900.00,£350-£750 + VAT (range),+20% VAT applied,Fixed fee,In-person,Yes (SRA),No,Simple variation without HMRC clearance,https://www.solicitorsnearme.com/probate-solicitors/how-much-does-a-deed-of-variation-cost/
Deed of Variation (standard),Post-death,Typical UK solicitor,Market average,National,600.00,1500.00,£500-£1250 + VAT (range),+20% VAT applied,Fixed fee,In-person,Yes (SRA),No,Standard case with IHT implications,https://www.solicitorsnearme.com/probate-solicitors/how-much-does-a-deed-of-variation-cost/
Deed of Variation (as part of wider estate admin),Post-death,Typical UK solicitor,Market average,National,1194.00,1914.00,£995-£1595 + VAT (range),+20% VAT applied,Fixed fee,In-person,Yes (SRA),No,When handled alongside existing estate administration,https://www.premiersolicitors.co.uk/blog/what-is-the-cost-of-a-deed-of-variation
Severance of joint tenancy,Ancillary,Typical UK solicitor,Market average,National,180.00,360.00,£150-£300 + VAT (range),+20% VAT applied,Fixed fee,In-person,Yes (SRA),No,Typically offered alongside property-trust wills,https://www.co-oplegalservices.co.uk/making-a-will/trust-wills/
Codicil (amendment to existing will),Wills,Typical UK solicitor,Market average,National,120.00,300.00,£100-£250 + VAT (range),+20% VAT applied,Fixed fee,In-person,Yes (SRA),No,Minor amendment to existing will,https://www.agespace.org/legal/will-making-cost
Will storage (annual fee),Ancillary,Typical UK solicitor,Market average,National,0.00,36.00,£0-£30 + VAT (range),+20% VAT applied to upper,Annual fee,N/A,Yes (SRA),No,Many firms store wills free; some charge nominal annual fee,https://www.moneyhelper.org.uk/en/family-and-care/death-and-bereavement/using-a-solicitor-to-write-your-will
HM Probate Registry fee (estate over £5k),Probate disbursement,HM Courts & Tribunals Service,Government,England & Wales,300.00,300.00,£300 (statutory),No VAT on statutory fees,Statutory fee,N/A,N/A,N/A,Paid to Probate Registry; additional £1.50 per sealed copy,https://www.gov.uk/applying-for-probate/fees
